stid,station_name,lat,lon,elev,begints,iem_network
PALV,BIG RIVER LAKE,60.816,-152.30200000000002,12.0,1978-09-01 20:00:00-05,AK_ASOS
PABV,BIRCHWOOD,61.41639,-149.50722,29.0,1994-03-01 03:00:00-06,AK_ASOS
PFKT,Brevig Mission,65.33133000000001,-166.46572,1.0,2013-03-14 08:58:00-05,AK_ASOS
PABL,BUCKLAND,65.98156999999999,-161.14907,13.1251,1998-12-01 03:15:00-06,AK_ASOS
PATW,CANTWELL,63.3912,-148.95561999999998,668.0,1983-12-01 10:00:00-06,AK_ASOS
PALU,CAPE LISBURNE(AWOS),68.88333,-166.13333,3.0,1952-09-01 12:00:00-05,AK_ASOS
PAEH,CAPE NEWENHAM(AWOS),58.64643,-162.06278,165.0,1953-08-01 10:00:00-05,AK_ASOS
PACZ,CAPE ROMANZOFF AWOS,61.7803,-166.03875,146.0,1953-04-01 07:00:00-06,AK_ASOS
PACE,Central,65.57394000000001,-144.78089,286.0,1948-07-01 07:00:00-05,AK_ASOS
PALR,CHANDALAR LAKE,67.50452,-148.48322,585.0,1974-04-02 01:00:00-05,AK_ASOS
PAVA,Chevak,61.5408,-165.6009,23.0,2009-03-01 03:57:00-06,AK_ASOS
PAJC,CHIGNIK,56.31146,-158.37323999999998,20.0,1996-07-01 03:34:00-05,AK_ASOS
PAEC,CHULITNA,62.88333000000001,-149.83333000000002,381.0,1979-02-01 16:00:00-06,AK_ASOS
PFCL,Clarks Point,58.8337,-158.5294,14.8405,2014-02-06 09:56:00-06,AK_ASOS
PACD,COLD BAY AIRPORT (ASOS),55.20515,-162.72447,31.0,1948-01-01 04:00:00-06,AK_ASOS
PACV,CORDOVA/MILE 13,60.488890000000005,-145.45111,13.0,1948-01-01 04:00:00-06,AK_ASOS
PASC,DEADHORSE (ASOS),70.19475,-148.46517,17.0,1973-01-01 11:00:00-06,AK_ASOS
PADE,DEERING AIRPORT (ASOS),66.06956,-162.76637,4.0,1984-05-01 14:00:00-05,AK_ASOS
PADL,DILLINGHAM (AMOS),59.044669999999996,-158.5055,29.0,1973-01-01 10:00:00-06,AK_ASOS
PADU,DUTCH HARBOR,53.90014,-166.5435,4.0,1951-01-01 04:00:00-06,AK_ASOS
PAEG,EAGLE AIRPORT (ASOS),64.77808,-141.14961,77.0,1981-10-01 12:00:00-05,AK_ASOS
PAII,EGEGIK(AWOS),58.185280000000006,-157.38556,119.0,1993-06-01 03:00:00-05,AK_ASOS
PAEI,EIELSON AFB,64.66566999999999,-147.1015,167.0,1948-01-01 04:00:00-06,AK_ASOS
PAEL,ELFIN COVE SEAPLANE,58.19518000000001,-136.34739,9.02062,1975-01-01 14:00:00-06,AK_ASOS
PFEL,Elim,64.61497,-162.27053,1.0,2012-09-19 22:58:00-05,AK_ASOS
PAED,ELMENDORF AFB,61.25135,-149.80651,65.0,1948-01-01 04:00:00-06,AK_ASOS
PAEM,EMMONAK,62.78614,-164.49075,3.0,1977-11-01 13:00:00-06,AK_ASOS
PAZK,EUREKA,61.937,-147.16899999999998,1002.0,1995-08-01 03:00:00-05,AK_ASOS
PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,138.0,1948-01-01 04:00:00-06,AK_ASOS
PAKF,False Pass Airport,54.8474,-163.4103,6.0,2009-03-01 04:01:00-06,AK_ASOS
PAFL,Farewell,62.5316,-153.6111,395.0,2015-04-04 21:47:00-05,AK_ASOS
PAFK,FAREWELL LAKE SEAPLANE,62.5425,-153.6225,321.0,1948-07-01 05:00:00-05,AK_ASOS
PFYU,FORT YUKON (AWOS),66.56667,-145.26667,131.0,1948-07-01 07:00:00-05,AK_ASOS
PABI,FT.GREELY/ALLEN AAF (ASOS),63.995,-145.71833,398.0,1948-01-01 04:00:00-06,AK_ASOS
PAFR,Ft. Richardson,61.2664,-149.6531,121.0,2013-05-14 12:02:00-05,AK_ASOS
PAGB,GALBRAITH LAKE,68.47967,-149.48991999999998,814.0,1975-02-01 04:00:00-06,AK_ASOS
PAGA,GALENA AIRPORT,64.73618,-156.93742,46.0,1953-06-01 05:00:00-05,AK_ASOS
PAGM,GAMBELL (AWOS),63.766769999999994,-171.73282,8.0,1948-07-01 06:00:00-05,AK_ASOS
PAGL,GOLOVIN,64.54333000000001,-163.03943999999998,8.0,1998-07-01 08:46:00-05,AK_ASOS
PAGK,GULKANA ARPT (ASOS),62.1602,-145.457,481.0,1948-01-01 04:00:00-06,AK_ASOS
PAGS,GUSTAVUS,58.42528000000001,-135.70741999999998,9.0,1949-01-01 04:00:00-06,AK_ASOS
PAHN,Haines,59.24286,-135.51166,7.0,1948-07-01 05:00:00-05,AK_ASOS
PAHZ,HAYES RIVER,61.983000000000004,-152.086,305.0,1973-01-01 14:00:00-06,AK_ASOS
PAHV,HEALY RIVER AIRPORT,63.86611,-148.96889,396.0,1977-01-01 13:00:00-06,AK_ASOS
PAHC,HOLY CROSS,62.18833000000001,-159.77492,21.0,2010-02-23 00:56:00-06,AK_ASOS
PAHO,HOMER MUNICIPAL (ASOS),59.645559999999996,-151.47658,22.0,1948-07-01 11:00:00-05,AK_ASOS
PAOH,HOONAH SEAPLANE,58.11221999999999,-135.45193999999998,0.0,1978-12-01 15:00:00-06,AK_ASOS
PAHP,HOOPER BAY (AWOS),61.52386,-166.14664,5.0,1984-12-01 11:00:00-06,AK_ASOS
PAHL,Huslia,65.69785999999999,-156.35138999999998,67.0,1999-01-31 22:20:00-06,AK_ASOS
PAHY,Hydaburg Seaplane Base,55.206109999999995,-132.82806000000002,0.140871,1996-07-01 03:22:00-05,AK_ASOS
PAIG,IGIUGIG,59.324040000000004,-155.90178999999998,29.0,2010-02-23 00:56:00-06,AK_ASOS
PAIL,ILIAMNA ARPT (ASOS),59.74916999999999,-154.90917,49.0,1948-07-01 05:00:00-05,AK_ASOS
PAIM,INDIAN MTN AFS AWOS,65.99276,-153.70377,389.0,1951-08-01 07:00:00-05,AK_ASOS
PAJN,JUNEAU INTL AIRPORT (ASOS),58.354969999999994,-134.57628,7.0,1948-07-01 09:00:00-05,AK_ASOS
PAFE,KAKE SEAPLANE BASE,56.96136,-133.91026000000002,42.0774,1973-01-01 10:00:00-06,AK_ASOS
PALG,KALSKAG,61.536269999999995,-160.34133,17.0,2010-02-23 00:56:00-06,AK_ASOS
PAKV,KALTAG AIRPORT (ASOS),64.31898000000001,-158.74131,60.0,1998-08-01 03:53:00-05,AK_ASOS
PAEN,KENAI MUNICIPAL (ASOS),60.5797,-151.2391,29.0,1948-07-01 05:00:00-05,AK_ASOS
PAKT,KETCHIKAN INTL ARPT (ASOS),55.356669999999994,-131.71167,29.0,1948-07-01 12:00:00-05,AK_ASOS
PAIK,Kiana,66.97595,-160.43653,51.0,1984-01-01 18:00:00-06,AK_ASOS
PAVC,KING COVE,55.11635,-162.26623,47.0,2010-02-24 06:17:00-06,AK_ASOS
PAKN,KING SALMON (ASOS),58.683609999999994,-156.65389,15.0,1948-01-01 04:00:00-06,AK_ASOS
PAKI,KIPNUK,59.93,-164.03,3.0,1983-12-01 11:00:00-06,AK_ASOS
PAVL,KIVALINA AIRPORT (ASOS),67.73167,-164.54833,3.0,1998-08-01 03:53:00-05,AK_ASOS
PAKW,KLAWOCK (ASOS),55.57923,-133.076,15.0,1980-12-01 13:00:00-06,AK_ASOS
PADQ,KODIAK (ASOS),57.74997,-152.49386,34.0,1948-01-01 04:00:00-06,AK_ASOS
PAJZ,KOLIGANEK,59.72664,-157.25947,82.0,2010-02-23 00:56:00-06,AK_ASOS
PAOT,KOTZEBUE/RALPH WIEN (ASOS),66.88469,-162.5985,5.0,1948-01-01 05:00:00-06,AK_ASOS
PAKK,KOYUK,64.93949,-161.15427,40.0,1996-07-01 03:33:00-05,AK_ASOS
PAKU,KUPARUK AIRPORT,70.33083,-149.5975,20.0,1974-11-01 10:00:00-06,AK_ASOS
PFKW,Kwethluk,60.7903,-161.4437,6.0,2014-05-15 10:56:00-05,AK_ASOS
PALH,LAKE HOOD SEAPLANE (ASOS),61.18,-149.97,22.0,1994-01-01 03:00:00-06,AK_ASOS
PAML,MANLEY HOT SPRINGS,64.99756,-150.64413000000002,82.0,1977-12-01 06:00:00-06,AK_ASOS
PAMB,MANOKOTAK,58.98333,-159.05,16.0,2010-03-05 14:59:00-06,AK_ASOS
PADM,MARSHALL,61.86428000000001,-162.02611000000002,31.0,2010-02-23 00:01:00-06,AK_ASOS
PAMX,MCCARTHY,61.433330000000005,-142.93333,455.0,1974-05-01 12:00:00-05,AK_ASOS
PAMC,MCGRATH (ASOS),62.952780000000004,-155.60703999999998,103.0,1948-08-01 05:00:00-05,AK_ASOS
PAIN,MCKINLEY PARK,63.7326,-148.91064,524.0,1995-12-01 03:00:00-06,AK_ASOS
PAMY,MEKORYUK,60.37,-166.27,15.0,1983-12-01 11:00:00-06,AK_ASOS
PAMR,MERRILL FIELD (ASOS),61.21694,-149.855,42.0,1948-01-01 04:00:00-06,AK_ASOS
PAER,MERRILL PASS WEST,61.25,-153.82,358.0,2010-02-23 11:15:00-06,AK_ASOS
PAMM,Metlakatla Seaplane Base,55.1308,-131.5762,5.9122,1996-07-01 03:33:00-05,AK_ASOS
PAMD,MIDDLETON ISL. AMOS,59.431999999999995,-146.338,14.0,1948-01-01 12:00:00-06,AK_ASOS
PAMH,MINCHUMINA,63.886,-152.30187,214.0,1948-07-01 05:00:00-05,AK_ASOS
PAMO,MOUNTAIN VILLAGE,62.09528,-163.68194,102.0,2010-02-23 00:56:00-06,AK_ASOS
PABN,NABESNA/DEVIL MTN,62.401669999999996,-142.99528,882.0,1996-07-01 10:45:00-05,AK_ASOS
PANA,Napakiak,60.6903,-161.9785,1.0,2014-05-15 10:32:00-05,AK_ASOS
PAOU,NELSON LAGOON,56.01,-161.16,4.0,2010-02-23 00:06:00-06,AK_ASOS
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,110.0,1949-01-01 05:00:00-06,AK_ASOS
PANW,NEW STUYAHOK,59.45,-157.33,92.0,2010-02-23 00:56:00-06,AK_ASOS
PAEW,Newtok,60.9391,-164.6413,6.76295,,AK_ASOS
PAFS,NIKOLAI,63.02,-154.36,126.0,2010-02-23 00:56:00-06,AK_ASOS
PAWN,NOATAK,67.56611,-162.975,30.0,1995-08-01 03:00:00-05,AK_ASOS
PAOM,NOME (ASOS),64.5122,-165.44525,7.0,1948-01-01 04:00:00-06,AK_ASOS
PFNO,Noorvik,66.81753,-161.02225,16.8,2011-05-26 13:12:00-05,AK_ASOS
PAOR,NORTHWAY (ASOS),62.96139,-141.92917,525.0,1948-01-01 04:00:00-06,AK_ASOS
PFNU,Nuiqsut,70.49542,-150.25347,-2.0,,AK_ASOS
PAQT,NUIQSUT (ASOS),70.20995,-151.00556,17.0,1998-08-01 03:53:00-05,AK_ASOS
PPNU,Nuiqsut/Pioneer,70.4141,-150.01859,15.0,,AK_ASOS
PPIT,Nunapitchuk,60.906000000000006,-162.4406,1.0,2014-05-15 10:56:00-05,AK_ASOS
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871000000002,71.0,1973-01-01 13:00:00-06,AK_ASOS
PAXK,PAXSON,63.02458000000001,-145.50055,809.0,1974-05-01 13:00:00-05,AK_ASOS
PAPG,Petersburg,56.7999,-132.9501,26.4769,1948-07-01 05:00:00-05,AK_ASOS
PAPN,PILOT POINT,57.58,-157.57,17.0,2010-02-23 18:41:00-06,AK_ASOS
PAPM,PLATINUM,59.01,-161.82,5.0,1953-08-01 10:00:00-05,AK_ASOS
PAPO,POINT HOPE (AWOS),68.35,-166.8,4.0,1948-01-01 06:00:00-06,AK_ASOS
PPIZ,POINT LAY(DEW/AWOS),69.73288000000001,-163.00534,6.0,1957-08-01 13:00:00-05,AK_ASOS
PAAD,Point Thomson Airstrip,70.13600000000001,-146.2901,5.0,2014-07-24 20:15:00-05,AK_ASOS
PATO,PORTAGE GLACIER CENTER (ASOS),60.785,-148.83889,29.0,1998-11-01 03:53:00-06,AK_ASOS
PAAP,PORT ALEXANDER,56.24684,-134.64815,1.0,1979-06-01 10:00:00-05,AK_ASOS
PALJ,PORT ALSWORTH,60.20399999999999,-154.319,81.0,1973-01-01 18:00:00-06,AK_ASOS
PAPC,Port Clarence,65.2537,-166.8585,5.0,2010-12-14 13:15:00-06,AK_ASOS
PAPH,PORT HEIDEN (AMOS),56.9591,-158.63336,29.0,1948-01-01 04:00:00-06,AK_ASOS
PAPR,PROSPECT CREEK,66.81406,-150.64361,335.0,1948-01-01 04:00:00-06,AK_ASOS
PAPT,PUNTILLA (LAKE),62.1,-152.75,560.0,1973-01-01 17:00:00-06,AK_ASOS
PAQH,Quinhagak,59.7551,-161.8454,12.0,2014-02-12 11:56:00-06,AK_ASOS
PADG,Red Dog,68.03211,-162.89919,295.4,2007-12-01 10:14:00-06,AK_ASOS
PARD,RED DOG,68.03139,-162.90306,288.97900000000004,2010-09-07 19:46:00-05,AK_ASOS
PARY,RUBY,64.73,-155.47,199.0,1953-06-01 05:00:00-05,AK_ASOS
PARS,RUSSIAN MISSION,61.77489,-161.3194,16.0,2010-02-23 00:41:00-06,AK_ASOS
PASM,SAINT MARY S (AWOS),62.06083,-163.30183,95.0,1980-02-01 22:00:00-06,AK_ASOS
PASN,SAINT PAUL ISLAND (ASOS),57.155280000000005,-170.22222,9.0,1949-09-01 06:00:00-05,AK_ASOS
PASD,SAND POINT,55.31369,-160.52142,7.0,1980-06-01 10:00:00-05,AK_ASOS
PASA,SAVOONGA AIRPORT,63.68639,-170.49264,16.0,1987-07-01 14:00:00-05,AK_ASOS
PACM,SCAMMON BAY,61.84454,-165.57375,4.0,2010-02-23 00:04:00-06,AK_ASOS
PASK,SELAWIK,66.60014,-159.98575,8.0,1994-10-01 03:00:00-05,AK_ASOS
PASO,SELDOVIA (ASOS),59.442440000000005,-151.70405,10.0,1997-06-01 03:53:00-05,AK_ASOS
PAWD,SEWARD (ASOS),60.126940000000005,-149.41861,18.0,1948-01-01 10:00:00-06,AK_ASOS
PAHX,Shageluk,62.69231,-159.5692,17.0,2014-02-05 09:24:00-06,AK_ASOS
PFSH,Shaktoolik,64.37108,-161.22397,7.0,2010-12-05 15:58:00-06,AK_ASOS
PASP,SHEEP MOUNTAIN,61.81225,-147.50445,838.0,1996-07-01 09:48:00-05,AK_ASOS
PASY,SHEMYA AFB,52.71406999999999,174.11691000000002,30.0,1948-01-01 05:00:00-06,AK_ASOS
PASH,SHISHMAREF (AWOS),66.24956999999999,-166.08935,2.0,1983-12-01 11:00:00-06,AK_ASOS
PAGH,Shungnak,66.88808,-157.1624,60.0,2010-02-23 00:57:00-06,AK_ASOS
PASI,SITKA/JAPONSKI ARPT (ASOS),57.04714,-135.36161,20.0,1948-07-01 05:00:00-05,AK_ASOS
PAGY,SKAGWAY (ASOS),59.46006,-135.31566,5.0,1973-01-01 09:00:00-06,AK_ASOS
PASW,SKWENTNA,61.96529,-151.19137,45.0,1948-08-01 05:00:00-05,AK_ASOS
PADT,SLANA AIRPORT,62.708890000000004,-143.98111,730.0,1974-10-01 11:00:00-05,AK_ASOS
PASL,SLEETMUTE,61.71666999999999,-157.15,54.0,1994-03-01 03:00:00-06,AK_ASOS
PALK,SNOWSHOE LAKE,62.03333000000001,-142.66666,735.0,1973-01-01 11:00:00-06,AK_ASOS
PASX,SOLDOTNA,60.47583,-151.03417,33.0,1983-05-01 19:00:00-05,AK_ASOS
PFWS,South Naknek,58.70208,-157.00258,46.5957,2014-02-05 09:56:00-06,AK_ASOS
PASV,SPARREVOHN (AWOS),61.09721,-155.57477,484.0,1951-08-01 08:00:00-05,AK_ASOS
PAPB,ST GEORGE ISLAND (ASOS),56.57694,-169.66306,35.0,1996-10-01 03:53:00-05,AK_ASOS
PAMK,ST MICHAEL,63.49,-162.11,28.0,2010-02-23 00:56:00-06,AK_ASOS
PAJV,SUTTON,61.71666999999999,-148.88333,265.0,1996-07-01 06:50:00-05,AK_ASOS
PATK,TALKEETNA (ASOS),62.32,-150.095,109.0,1948-07-01 11:00:00-05,AK_ASOS
PATA,TANANA/CALHOUN MEM (ASOS),65.17444,-152.10693999999998,67.0,1948-07-01 05:00:00-05,AK_ASOS
PATL,TATALINA (AWOS),62.894369999999995,-155.97653,294.0,1952-04-01 08:00:00-06,AK_ASOS
PATE,Teller,65.24038,-166.33934,90.0,2010-02-23 00:03:00-06,AK_ASOS
PATC,TIN CITY AFS (AWOS),65.56403,-167.92246,83.0,1953-06-01 12:00:00-05,AK_ASOS
PATG,TOGIAC VILLAGE AWOS,59.053630000000005,-160.39692,6.0,1989-12-01 12:00:00-06,AK_ASOS
PAOO,TOOKSOK BAY,60.541340000000005,-165.08719,18.0,2010-02-23 00:56:00-06,AK_ASOS
PAUM,Umiat,69.3711,-152.135,83.0,2013-03-30 10:03:00-05,AK_ASOS
PAUN,UNALAKLEET (AWOS),63.8885,-160.79911,6.0,1948-07-01 12:00:00-05,AK_ASOS
PAVD,VALDEZ,61.13399999999999,-146.248,37.0,1975-05-01 11:00:00-05,AK_ASOS
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,137.0,1948-01-01 04:00:00-06,AK_ASOS
PAWI,WAINWRIGHT AIRPORT (ASOS),70.638,-159.99475,27.0,1948-07-01 07:00:00-05,AK_ASOS
PAIW,Wales,65.62258,-168.09493999999998,6.7,2010-02-23 00:39:00-06,AK_ASOS
PAWS,WASILLA NEW ARPT,61.571940000000005,-149.54056,113.0,1998-04-01 05:55:00-06,AK_ASOS
PAWM,White Mountain,64.6892,-163.4128,81.0,2011-11-18 23:58:00-06,AK_ASOS
PAWR,WHITTIER,60.777,-148.722,9.0,1975-05-01 16:00:00-05,AK_ASOS
PAUO,WILLOW AIRPORT,61.75419,-150.05174,67.0,1978-01-01 12:00:00-06,AK_ASOS
PAWG,WRANGELL,56.48433000000001,-132.36983,13.0,1973-01-01 10:00:00-06,AK_ASOS
PAYA,YAKUTAT (ASOS),59.50331,-139.66025,9.0,1949-01-01 04:00:00-06,AK_ASOS
BXK,Buckeye,33.42042,-112.68618000000001,311.2,2009-09-01 09:15:00-05,AZ_ASOS
IFP,BULL HEAD CITY,35.15739,-114.55953000000001,167.0,1991-05-01 09:00:00-05,AZ_ASOS
CGZ,CASA GRANDA (AWOS),32.95489,-111.76683,446.0,1992-07-01 02:00:00-05,AZ_ASOS
CHD,CHANDLER MUNICIPAL AIRPORT,33.27,-111.81,379.0,2000-02-06 10:47:00-06,AZ_ASOS
AZC,Colorado City,36.9599,-113.0139,1480.56,2014-02-28 11:35:00-06,AZ_ASOS
P08,Coolidge,32.93602,-111.42647,473.332,2013-05-09 08:35:00-05,AZ_ASOS
DMA,DAVIS-MONTHAN AFB,32.166,-110.883,824.0,1948-01-01 01:00:00-06,AZ_ASOS
DVT,DEER VALLEY/PHOENIX,33.688309999999994,-112.08256000000002,450.0,1987-07-01 08:00:00-05,AZ_ASOS
DUG,DOUGLAS BISBEE INTL,31.46903,-109.60367,1265.0,1948-11-01 01:00:00-06,AZ_ASOS
FLG,FLAGSTAFF (AMOS),35.14028,-111.67222,2137.0,1948-01-01 01:00:00-06,AZ_ASOS
FHU,FORT HUACHUCA/LIBBY,31.58833,-110.34416999999999,1438.0,1954-11-01 01:00:00-06,AZ_ASOS
GBN,GILA BEND (AAF),32.8875,-112.72,262.0,1948-11-01 01:00:00-06,AZ_ASOS
GXF,Gila Bend Af Aux,32.8875,-112.7199,259.443,2013-02-25 07:55:00-06,AZ_ASOS
GEU,GLENDALE,33.526920000000004,-112.29513999999999,325.0,1998-06-01 07:50:00-05,AZ_ASOS
GYR,GOODYEAR MUNICIPAL,33.42235,-112.37358,295.0,1948-04-01 05:00:00-06,AZ_ASOS
GCN,GRAND CANYON PARK,35.94611,-112.15472,2014.0,1973-02-01 09:00:00-06,AZ_ASOS
IGM,KINGMAN (AMOS),35.2577,-113.93299999999999,1033.0,1973-01-01 11:00:00-06,AZ_ASOS
HII,Lake Havasu City,34.5711,-114.3583,226.63099999999997,1948-11-01 02:00:00-06,AZ_ASOS
LUF,LUKE AFB/PHOENIX,33.535,-112.383,332.0,1951-04-01 06:00:00-06,AZ_ASOS
A39,Maricopa - Ak-chin,32.9908,-111.9185,391.13699999999994,2016-08-17 10:15:00-05,AZ_ASOS
FFZ,MESA/FALCON FIELD,33.46083,-111.72833,424.0,1988-02-01 07:00:00-06,AZ_ASOS
OLS,NOGALES INTL AIRPORT,31.42083,-110.84583,1206.0,1999-08-01 02:54:00-05,AZ_ASOS
